email_id,text
1,"I stopped by the Main Store yesterday and the staff was so helpful!"
2,"My order from the Westside Branch was missing an item. Can you help?"
3,"Do you offer any discounts for veterans?"
4,"The store was clean and organized."
5,"I wish you had longer hours on weekends."
6,"Thank you for the quick turnaround on my print order!"
7,"The coffee beans I bought were stale."
8,"Are you open on Small Business Saturday?"
9,"I love the new back-to-school sale."
10,"The Eastside Branch is always out of stock on notebooks."
